"","Animal_A.tifdiff_vec2.txt","Animal_B.tiffdiff_vec2.txt","Animal_C.tifdiff_vec2.txt","Animal_D.tifdiff_vec2.txt","Animal_E.tifdiff_vec2.txt","Animal_F.tifdiff_vec2.txt","Animal_G.tifdiff_vec2.txt","Animal_H.tifdiff_vec2.txt","Animal_I.tifdiff_vec2.txt","Animal_J.tifdiff_vec2.txt","Animal_K.tifdiff_vec2.txt","Animal_L.tifdiff_vec2.txt","Animal_M.tifdiff_vec2.txt","Animal_N.tifdiff_vec2.txt","Animal_O.tifdiff_vec2.txt","Animal_P.tiffdiff_vec2.txt","Animal_R.tiffdiff_vec2.txt","Animal_U.tifdiff_vec2.txt","Animal_V.tifdiff_vec2.txt","Animal_W.tifdiff_vec2.txt","Animal_X.tifdiff_vec2.txt","Animal_Y.tifdiff_vec2.txt","Animal_Z.tifdiff_vec2.txt","Animal_Z1.tifdiff_vec2.txt","Animal_Z10.tiffdiff_vec2.txt","Animal_Z2.tifdiff_vec2.txt","Animal_Z4.tifdiff_vec2.txt","Animal_Z6.tiffdiff_vec2.txt","Animal_Z8.tiffdiff_vec2.txt","Animal_Z9.tiffdiff_vec2.txt"
"21",0.000325204393396487,0.000437406220645973,0.000221352716865672,0.000151653702405913,0.000216915382184706,0.000495410193380728,0.00101976767437244,0.000581114387594176,0.000341777214081089,0.000631022328068418,0.00027992317418337,0.000158059115433876,0.000309235667442888,0.000210266854627774,0.000181824854022207,5.09327015223105e-05,0.000738907910618878,0.000771152561802563,0.000598010158521701,0.000447796428873416,0.000116178667749478,0.000621454965057464,0.000405350520082609,0.000549597790400513,0.000214696445535572,0.000474855070703772,0.000111340072940352,0.000342899254735594,0.00462955971460363,0.00172094133416482
"22",0.000366595439421064,0.000489706474770777,0.000248316071058244,0.000173917207638467,0.000239249706047536,0.000568098853696179,0.00115746434231968,0.000656643313640652,0.000380601613627287,0.000712678084870861,0.000319405860409037,0.000178573194482952,0.000353747073177688,0.000241720791300598,0.000207182611218075,5.69195484484009e-05,0.00084039925898254,0.000863690301647076,0.000672792771915007,0.000499631173938686,0.000130107133260336,0.000692421693314183,0.000457604250174587,0.000615150834970395,0.000242732685169579,0.000545104814881042,0.000126959992908472,0.0003906393839322,0.00523696396638829,0.00204589751733014
"23",0.000411881838568774,0.000549141791840427,0.000278845552344184,0.000198645537678837,0.000261411496327091,0.000649539062028383,0.00130887498181423,0.00074126209122253,0.000423683516951298,0.000800923996897374,0.000363138376840967,0.000201344882469274,0.000402802555778369,0.000276784305440098,0.000235086283106149,6.33402857141352e-05,0.000949379765863691,0.000964384536281087,0.000753816096412449,0.00055757137283744,0.000145394750373545,0.000772477862304799,0.000514245805548654,0.000686583004294399,0.000273316202323571,0.000623330546713136,0.000144926066198708,0.000442912327185675,0.00586967955985815,0.00241577407546893
"24",0.000462158810771902,0.000613965207143276,0.000312240002484695,0.000226002656390094,0.000282996776494869,0.000738591482981161,0.00147477689856467,0.000834478347409735,0.000470804030745719,0.000895806782419335,0.000412624781151708,0.000226039170689192,0.000456620731660825,0.000316441608186463,0.000265670147207973,7.01975673785609e-05,0.00106548668911092,0.00107363429677278,0.000841248222663258,0.000621002787921583,0.000161995342365138,0.000859154747883131,0.000575377550882627,0.000763219024206451,0.000306552292354941,0.000713450143223859,0.000165192174461736,0.000500428919856071,0.00652091318043265,0.00283381066439552
"25",0.000518567320284985,0.000684459274036209,0.000348565820670781,0.000256154597099368,0.000303585830930648,0.000835109930327044,0.00165851851450566,0.000935888869538802,0.000521629757282891,0.000997325788388867,0.000466925230166232,0.000252703831297828,0.000515409656171386,0.000361447017554342,0.000299511843417911,7.75677383015395e-05,0.00118928999365454,0.00119388045300161,0.000935238161324224,0.000689576329681441,0.000179971910928182,0.000952727954356389,0.000641728643402635,0.000844533443423668,0.000343428236478545,0.000813715714013143,0.000187736221346826,0.00056367862617971,0.00718319493222687,0.0033030572039263
"26",0.000580002432822508,0.000760942997214313,0.000387970049496393,0.00029012262248083,0.000322753378254231,0.000939092864672663,0.00186304534025673,0.00104582565855334,0.000576307997187936,0.00110631105106129,0.000526279293482962,0.000281379172872689,0.000579636316910964,0.000411261784669063,0.000336969867461931,8.54338280259544e-05,0.00131844280260549,0.00132683086313197,0.00103659962456251,0.000763504155818952,0.000199890626107485,0.00105366012002155,0.000713443489731364,0.000930391748347522,0.000383326355929475,0.000924565856172186,0.000212740380794618,0.000631931426275061,0.00784740925817924,0.00383392111442625
"27",0.000646702953005258,0.000847134952398033,0.000431658879307645,0.000327812732575342,0.000340079406372253,0.00105046627774994,0.00208541440803658,0.00116461098732114,0.000635970062483411,0.00122255468313799,0.000590922334426738,0.000312326417259702,0.000650752059036261,0.000466192312973134,0.000377604258303557,9.37120516279474e-05,0.00145196183718905,0.0014703866817177,0.0011465127690873,0.000845122456195895,0.000221666328311274,0.00116607986673261,0.000789804960685424,0.00102062039371131,0.00042621196264101,0.0010466720167351,0.000240663898686452,0.000705234969051875,0.00850361777583579,0.00442729208427025
"28",0.000720254026957255,0.000940481506176225,0.000479466668342726,0.000369019668936514,0.000354816238220652,0.00116908058316118,0.00232637593513774,0.00129581448576666,0.000700965916764453,0.00134481741347722,0.000661148252983564,0.000345795689759876,0.000727471616016528,0.000526548481871705,0.000421518603769831,0.000102386674975051,0.00158873485733978,0.00162498547202053,0.0012632504954371,0.000933761909197057,0.000245136361489382,0.00128680077610728,0.000870786835070165,0.00111558445428508,0.000472141910928514,0.0011815019696443,0.000272562012586075,0.000783607315449517,0.00914380437092536,0.00507947773115912
"29",0.000801743855033667,0.00104131019316505,0.000531067644160242,0.000413911516863048,0.000366638803082737,0.00129609456626652,0.00258666829311867,0.0014369459543319,0.000770497888627289,0.00147276131828077,0.000739058889575596,0.000381314068923475,0.000809882543753931,0.000594507968276272,0.000468809316777293,0.000111439148191164,0.00172753281917076,0.00179321424031873,0.00138676687850577,0.00102880797461425,0.000270369982316772,0.00141609788882062,0.000956341271495008,0.00121475153876917,0.00052116413309182,0.00133336519609672,0.000307850520791132,0.000867036213896276,0.00976038737987126,0.00579124148824278
"30",0.000889780865648812,0.00114994906974246,0.000586624494690484,0.000462735967277006,0.000375429586630771,0.00142970320512302,0.0028741208722025,0.00158799091690016,0.000844706523213348,0.00160598927818051,0.000823116930329415,0.00041885249372102,0.000898045409714154,0.000669405890272284,0.000520171311431201,0.000120908611356056,0.00186702367159344,0.00197782376514804,0.00151698417181378,0.00113047098582676,0.000297943034187619,0.00155459314484517,0.0010464977469226,0.00131710317480723,0.000574331132572457,0.00149933357410163,0.000346785120198317,0.0009566316279786,0.0103464125270102,0.00656268155104411
