"","Animal_A.tifdiff_vec.txt","Animal_B.tiffdiff_vec.txt","Animal_C.tifdiff_vec.txt","Animal_D.tifdiff_vec.txt","Animal_E.tifdiff_vec.txt","Animal_F.tifdiff_vec.txt","Animal_G.tifdiff_vec.txt","Animal_H.tifdiff_vec.txt","Animal_I.tifdiff_vec.txt","Animal_J.tifdiff_vec.txt","Animal_K.tifdiff_vec.txt","Animal_L.tifdiff_vec.txt","Animal_M.tifdiff_vec.txt","Animal_N.tifdiff_vec.txt","Animal_O.tifdiff_vec.txt","Animal_P.tiffdiff_vec.txt","Animal_R.tiffdiff_vec.txt","Animal_U.tifdiff_vec.txt","Animal_V.tifdiff_vec.txt","Animal_W.tifdiff_vec.txt","Animal_X.tifdiff_vec.txt","Animal_Y.tifdiff_vec.txt","Animal_Z.tifdiff_vec.txt","Animal_Z1.tifdiff_vec.txt","Animal_Z10.tiffdiff_vec.txt","Animal_Z2.tifdiff_vec.txt","Animal_Z4.tifdiff_vec.txt","Animal_Z6.tiffdiff_vec.txt","Animal_Z8.tiffdiff_vec.txt","Animal_Z9.tiffdiff_vec.txt"
"39",42.02,3.08,18.04,6.82,11.66,52.58,4.18,3.3,6.6,8.8,11,10.78,10.34,7.04,32.12,9.24,11.22,3.74,7.7,5.28,25.3,14.3,13.86,12.54,24.86,14.74,8.8,12.76,41.8,10.12
"40",41.8,3.08,18.04,6.82,11,52.8,4.18,3.3,6.6,8.8,11,10.56,10.56,6.82,32.12,9.24,11.22,3.96,7.92,3.96,25.08,14.52,13.86,11.88,24.86,14.96,6.82,12.76,42.02,9.9
"41",41.58,3.08,18.04,6.82,11,53.02,4.18,3.3,6.6,8.8,11,9.46,10.78,6.6,32.12,9.24,11.44,3.96,6.82,3.52,24.86,14.74,13.86,11.88,24.86,15.18,7.04,12.76,42.24,9.68
"42",41.36,3.08,17.6,6.82,11,53.02,4.4,3.52,6.6,8.8,10.34,9.46,10.78,7.04,32.12,10.56,11.44,4.4,6.82,3.3,24.86,15.18,13.42,11.88,24.86,15.4,7.26,12.76,42.46,9.46
"43",42.68,2.86,17.6,6.82,11,53.02,4.62,3.3,6.6,8.8,10.12,9.24,11,6.82,32.12,10.56,11.44,4.18,5.72,3.08,24.86,14.96,13.42,11.88,24.86,15.4,7.48,12.76,42.68,9.24
"44",42.68,2.86,17.82,6.82,10.34,53.68,4.84,3.3,5.28,8.58,9.9,9.02,11,6.6,32.12,11,11.44,5.28,5.72,3.3,24.86,16.06,3.74,11.88,24.86,15.4,7.7,12.76,42.9,10.56
"45",42.68,2.86,17.82,6.82,10.34,53.9,10.12,3.3,5.5,8.36,9.68,9.02,11.22,7.26,32.12,11,11.44,5.5,5.72,3.08,25.08,15.84,3.74,12.1,24.86,15.4,7.7,12.76,43.12,10.56
"46",43.78,3.08,16.94,6.82,10.34,54.12,10.12,3.3,5.06,8.14,9.68,9.02,11.22,7.26,32.12,11,11.44,5.72,6.16,3.08,25.08,16.28,3.74,12.32,24.86,15.4,7.7,12.76,43.34,10.56
"47",43.56,2.86,16.72,6.82,9.68,54.12,10.12,3.3,5.06,8.14,9.68,9.02,11.66,7.26,32.12,10.56,11.44,5.5,6.16,3.08,25.08,16.28,3.74,12.54,24.86,15.62,8.8,12.76,43.56,10.56
"48",43.34,2.86,7.04,6.38,9.68,54.12,10.78,3.3,3.96,8.14,9.68,9.46,11.66,7.26,32.12,10.56,11.44,5.72,6.16,3.08,25.08,16.72,3.74,12.32,24.86,15.84,8.8,12.76,43.78,10.56
